country,incomeperperson,internetuserate,urbanrate,continent
Albania,1914.996551,44.98994696,46.72,Europe
Algeria,2231.993335,12.50007331,65.22,Africa
Andorra,21943.3399,81,88.92,Europe
Angola,1381.004268,9.999953883,56.7,Africa
Antigua and Barbuda,11894.46407,80.64545455,30.46,North America
Argentina,10749.41924,36.00033495,92,South America
Armenia,1326.741757,44.00102458,63.86,Asia
Australia,25249.98606,75.8956538,88.74,Australia
Austria,26692.98411,72.73157554,67.16,Europe
Azerbaijan,2344.896916,46.67970157,51.92,Asia
Bahamas,19630.54055,42.98458017,83.7,North America
Bahrain,12505.21254,54.99280903,88.52,Asia
Bangladesh,558.0628766,3.70000326,27.14,Asia
Barbados,9243.587053,70.02859927,39.84,North America
Belarus,2737.670379,32.05214391,73.46,Europe
Belgium,24496.04826,73.73393447,97.36,Europe
Belize,3545.652174,12.64573333,51.7,North America
Benin,377.0396995,3.129961803,41.2,Africa
Bermuda,62682.14701,84.65451409,100,North America
Bhutan,1324.194906,13.59887603,34.48,Asia
Bolivia,1232.794137,20.00171014,65.58,South America
Bosnia and Herzegovina,2183.344867,52.00206064,47.44,Europe
Botswana,4189.436587,5.999835575,59.58,Africa
Brazil,4699.411262,40.650098,85.58,South America
Brunei,17092.46,49.98997494,74.82,Asia
Bulgaria,2549.558474,45.98658991,71.1,Europe
Burkina Faso,276.200413,1.4000607,19.56,Africa
Burundi,115.3059959,2.100212706,10.4,Africa
Cambodia,557.9475126,1.259933609,21.56,Asia
Cameroon,713.6393027,3.999977346,56.76,Africa
Canada,25575.35262,81.33839269,80.4,North America
Cape Verde,1959.844472,29.99993952,59.62,Africa
Central African Republic,239.5187494,2.300026653,38.58,Africa
Chad,275.8842865,1.700031496,26.68,Africa
Chile,6334.105194,45,88.44,South America
China,2425.471293,34.37778952,43.1,Asia
Colombia,3233.42378,36.49987464,74.5,South America
Comoros,336.3687495,5.098265306,28.08,Africa
Democratic Republic of the Congo,103.7758572,0.720008677,33.96,Africa
Republic of the Congo,1253.292015,4.999875093,61.34,Africa
Costa Rica,5188.900935,36.49911472,63.26,North America
Ivory Coast,591.0679443,2.599973655,48.78,Africa
Croatia,6338.494668,60.11970702,57.28,Europe
Cuba,4495.046262,15.89997034,75.66,North America
Cyprus,15313.85935,53.02474483,69.9,Asia
Czech Republic,7381.312751,68.63813347,73.5,Europe
Denmark,30532.27704,88.77025387,86.68,Europe
Djibouti,895.3183396,6.49792351,87.3,Africa
Dominica,6147.77961,47.28043603,73.92,North America
Dominican Republic,4049.169629,39.53127426,69.02,North America
Ecuador,1728.020976,28.99947674,65.58,South America
Egypt,1975.551906,26.74002538,42.72,Africa
El Salvador,2557.433638,15.89998203,60.7,North America
Equatorial Guinea,8654.536845,6.003437143,39.38,Africa
Eritrea,131.796207,5.399666997,20.72,Africa
Estonia,6238.537506,74.1630403,69.46,Europe
Ethiopia,220.8912479,0.74999585,17,Africa
Fiji,2230.676374,14.83073588,52.36,Australia
Finland,27110.73159,86.89884451,63.3,Europe
France,22878.46657,77.49861935,77.36,Europe
Gabon,4180.765821,7.232224246,85.04,Africa
Gambia,354.5997263,9.196775477,56.42,Africa
Georgia,1258.762596,26.29725148,52.74,Asia
Germany,25306.18719,82.52689791,73.64,Europe
Ghana,358.9795398,9.549930701,50.02,Africa
Greece,13577.87989,44.57007444,61,Europe
Greenland,20751.89342,63.84915272,83.52,North America
Grenada,5330.401612,33.61668288,30.84,North America
Guatemala,1860.753895,10.49994819,48.58,North America
Guinea,411.5014473,0.999958926,34.44,Africa
Guinea-Bissau,161.3171371,2.450362244,29.84,Africa
Guyana,1200.652075,29.87992146,28.38,South America
Haiti,371.4241975,8.370206884,46.84,North America
Honduras,1392.411829,11.09076463,47.88,North America
Hong Kong,35536.07247,71.84912394,100,Asia
Hungary,5634.003948,65.16325092,67.5,Europe
Iceland,33945.31442,95.63811321,92.26,Europe
India,786.7000981,7.499995878,29.54,Asia
Indonesia,1143.831514,9.900038672,51.46,Asia
Iran,2161.54651,13.00011072,68.46,Asia
Iraq,736.2680538,2.471948347,66.6,Asia
Ireland,27595.09135,69.77039441,61.34,Europe
Israel,22275.75166,65.38778594,91.66,Asia
Italy,18982.26929,53.7402166,68.08,Europe
Jamaica,3665.348369,26.47722324,53.3,North America
Japan,39309.47886,77.63853515,66.48,Asia
Jordan,2534.00038,38.88120159,78.42,Asia
Kazakhstan,2481.718918,33.38212816,57.94,Asia
Kenya,468.6960436,25.8997967,21.6,Africa
Kiribati,760.262365,8.95914,43.84,Australia
South Korea,16372.49978,82.515928,81.46,Asia
Kyrgyzstan,372.728414,19.58231645,36.28,Asia
Laos,554.8798401,6.999880342,30.88,Asia
Latvia,5011.219456,71.51472354,68.12,Europe
Lebanon,6746.612632,31.00437828,86.96,Asia
Lesotho,495.7342469,3.860565398,25.46,Africa
Liberia,155.0332312,7.000213821,60.14,Africa
Libya,7885.468037,14.00024673,77.54,Africa
Liechtenstein,81647.10003,80,14.32,Europe
Lithuania,5332.238591,62.81190001,66.96,Europe
Luxembourg,52301.58718,90.07952663,82.44,Europe
Macao,33923.31387,56.76408235,100,Asia
Macedonia,2221.185664,51.91418432,66.9,Europe
Madagascar,242.6775342,1.699985145,29.52,Africa
Malawi,184.1417966,2.259975885,18.8,Africa
Malaysia,5184.709328,56.3000337,70.36,Asia
Maldives,4038.857818,28.28970095,37.86,Asia
Mali,269.8928811,2.699966448,32.18,Africa
Malta,11066.78414,63.07799279,94.26,Europe
Mauritania,609.1312059,2.999803179,41,Africa
Mauritius,5182.143721,28.7318835,42.48,Africa
Mexico,6105.280743,31.05001287,77.2,North America
Federated States of Micronesia,2146.358593,20.01153153,22.54,Australia
Moldova,595.8745345,40.1222347,41.76,Europe
Mongolia,772.9333448,12.90000468,57.18,Asia
Montenegro,2222.335052,51.95803797,60.18,Europe
Morocco,1844.351028,49.00063184,56.02,Africa
Mozambique,389.7636343,4.170136385,36.84,Africa
Namibia,2667.24671,6.500822821,36.84,Africa
Nepal,268.2594495,7.930096349,17.24,Asia
Netherlands,26551.84424,90.70355509,81.82,Europe
New Zealand,14778.16393,83.00258425,86.56,Australia
Nicaragua,948.355952,9.998554154,56.74,North America
Niger,180.083376,0.829997485,16.54,Africa
Nigeria,544.5994767,28.43003266,48.36,Africa
Norway,39972.35277,93.27750793,77.48,Europe
Oman,11191.81101,61.98741286,71.62,Asia
Pakistan,668.547943,16.78003702,36.16,Asia
Panama,5900.616944,42.74781206,73.2,North America
Papua New Guinea,744.2394132,1.280049647,12.54,Australia
Paraguay,1621.177078,19.80168119,60.3,South America
Peru,3180.430612,34.30060399,71.4,South America
Philippines,1383.401869,24.99994585,64.92,Asia
Poland,6575.745044,62.47123013,61.32,Europe
Portugal,11744.83417,51.2804784,59.46,Europe
Puerto Rico,15822.11214,42.69233477,98.32,North America
Qatar,33931.83208,81.59039727,95.64,Asia
Romania,2636.7878,40.02009488,54.24,Europe
Russia,2923.144355,43.36649772,72.84,Europe
Rwanda,338.2663912,13.00000612,18.34,Africa
Saint Kitts and Nevis,9175.796015,76.58753846,32.32,North America
Saint Lucia,5248.582321,40.06137931,27.84,North America
Samoa,1784.071284,6.965038043,23,Australia
Saudi Arabia,9425.32587,41.00012846,82.42,Asia
Senegal,561.7085848,15.99964999,42.38,Africa
Serbia,1194.711433,43.05506706,52.04,Europe
Seychelles,8614.120219,40.77285057,54.34,Africa
Singapore,32535.83251,71.13170731,100,Asia
Slovak Republic,8445.526689,79.88977734,56.56,Europe
Slovenia,12729.4544,69.33997072,48.6,Europe
Solomon Islands,1144.102193,5.001375465,17.96,Australia
South Africa,3745.649852,12.33489326,60.74,Africa
Spain,15461.75837,65.80855367,77.12,Europe
Sri Lanka,1295.742686,11.99997066,15.1,Asia
Suriname,2668.020519,31.5680976,74.92,South America
Swaziland,1810.230533,9.007735909,24.94,Africa
Sweden,32292.48298,90.01619002,84.54,Europe
Switzerland,37662.75125,82.16665988,73.48,Europe
Syria,1525.780116,20.66315568,54.22,Asia
Tajikistan,279.1804526,11.54939051,26.46,Asia
Tanzania,456.3857117,11.00005544,25.52,Africa
Thailand,2712.517199,21.20007177,33.32,Asia
Togo,285.2244493,5.379819715,42,Africa
Tonga,2025.282665,12.00669231,24.78,Australia
Trinidad and Tobago,10480.8172,48.51681767,13.22,North America
Tunisia,3164.927693,36.56255296,66.5,Africa
Turkey,5348.597192,39.82017789,68.68,Asia
Turkmenistan,2062.125152,2.199997818,48.62,Asia
Uganda,377.4211133,12.50025543,12.98,Africa
Ukraine,1036.830725,44.58535469,67.98,Europe
United Arab Emirates,21087.39412,77.99678115,77.88,Asia
United Kingdom,28033.48928,84.73170475,89.94,Europe
United States,37491.17952,74.247572,81.7,North America
Uruguay,9106.327234,47.86746863,92.3,South America
Uzbekistan,952.8272608,19.44502055,36.82,Asia
Vanuatu,1543.956457,7.988366667,24.76,Australia
Venezuela,5528.363114,35.85043696,93.32,South America
Vietnam,722.8075588,27.85182156,27.84,Asia
Yemen,610.3573673,12.34975046,30.64,Asia
Zambia,432.226337,10.12498646,35.42,Africa
Zimbabwe,320.7718899,11.50041532,37.34,Africa
